rank,shirtnumber,name,team,attacks,blocks,serves,total
216,8,Demi Korevaar,NED,3,2,0,5
217,23,Olga Zubareva,RUS,2,2,1,5
218,2,Elise Van Sas,BEL,2,1,1,4
219,20,Mariya Krivoshiyska,BUL,0,4,0,4
220,11,Marifranchi Rodriguez,DOM,2,2,0,4
221,24,Aleksandra Cirovic,SRB,1,3,0,4
222,1,Wipawee Srithong,THA,3,0,1,4
223,21,Gullapa Piampongsan,THA,1,0,3,4
224,23,Jutarat Montripila,THA,4,0,0,4
225,6,Julia Isabelle Bergmann,BRA,2,1,0,3
226,17,Elena Becheva,BUL,3,0,0,3
227,23,Natalie Wilczek,GER,0,3,0,3
228,6,Hyejin An,KOR,0,0,3,3
229,11,Monika Galkowska,POL,3,0,0,3
230,12,Daria Ryseva,RUS,0,3,0,3
231,29,Victoriia Russu,RUS,2,0,1,3
232,25,Milka Marcília Medeiros Silva,BRA,2,0,0,2
233,13,Denise Imoudu,GER,2,0,0,2
234,6,Haruka Miyashita,JPN,1,0,1,2
235,26,Sooji Han,KOR,2,0,0,2
236,26,Sarah Van Aalen,NED,0,2,0,2
237,13,Evgeniya Startseva,RUS,2,0,0,2
238,4,Selma Hetmann,GER,1,0,0,1
239,15,Sylvia Chinelo Nwakalor,ITA,0,1,0,1
240,23,Zuzanna Gorecka,POL,1,0,0,1
241,20,Maria Vorobyeva,RUS,0,1,0,1
242,4,Emilija Zakic,SRB,1,0,0,1
243,7,Katarina Jovic,SRB,1,0,0,1
244,28,Ana Pejicic,SRB,1,0,0,1
245,8,Buse Unal,TUR,0,0,1,1
