rank,shirtnumber,name,team,running_sets,faults,still_sets,total_attempts,average_per_set
151,23,Zuzanna Gorecka,POL,2,0,1,3,0.03
152,10,Gabriela Braga Guimaraes,BRA,2,2,34,38,0.03
153,24,Lorenne Geraldo Teixeira,BRA,2,0,10,12,0.03
154,9,Madison Kingdon Rishel,USA,2,0,11,13,0.03
155,8,Watchareeya Nuanjam,THA,1,1,10,12,0.02
156,5,Jana Franziska Poll,GER,1,0,4,5,0.02
157,6,Jennifer Janiska,GER,1,1,13,15,0.02
158,7,Nele Barber,GER,1,1,7,9,0.02
159,10,Lena Stigrot,GER,1,0,8,9,0.02
160,14,Marie Schölzel,GER,1,0,9,10,0.02
161,16,Linda Bock,GER,1,0,0,1,0.02
162,22,Jiyun Jeong,KOR,1,0,6,7,0.02
163,26,Sooji Han,KOR,1,0,0,1,0.02
164,5,Mina Popovic,SRB,1,0,7,8,0.02
165,6,Maja Savic,SRB,1,2,9,12,0.02
166,20,Jelena Blagojevic,SRB,1,0,21,22,0.02
167,28,Ana Pejicic,SRB,1,0,1,2,0.02
168,31,Marija Popovic,SRB,1,1,29,31,0.02
169,4,Maria Dancheva,BUL,1,2,6,9,0.02
170,10,Mira Todorova,BUL,1,2,25,28,0.02
171,13,Mirela Shahpazova,BUL,1,0,1,2,0.02
172,2,Sarina Koga,JPN,1,2,15,18,0.02
173,5,Ekaterina Orlova,RUS,1,0,8,9,0.02
174,19,Mariia Khaletskaia,RUS,1,1,9,11,0.02
175,4,Nathalie Lemmens,BEL,1,1,2,4,0.02
176,19,Silke Van Avermaet,BEL,1,0,7,8,0.02
177,9,Myrthe Schoot,NED,1,1,82,84,0.02
178,21,Annick Meijers,NED,1,2,10,13,0.02
179,2,Yaneirys Rodriguez Duran,DOM,1,0,16,17,0.02
180,8,Candida Estefany Arias Perez,DOM,1,3,20,24,0.02
181,11,Marifranchi Rodriguez,DOM,1,0,2,3,0.02
182,16,Yonkaira Paola Peña Isabel,DOM,1,1,19,21,0.02
183,4,Hanyu Yang,CHN,1,1,12,14,0.02
184,9,Changning Zhang,CHN,1,0,18,19,0.02
185,12,Yingying Li,CHN,1,0,12,13,0.02
186,19,Yanhan Liu,CHN,1,2,16,19,0.02
187,23,Qingqing Du,CHN,1,0,7,8,0.02
