rank,shirtnumber,name,team,aces,faults,hits,total_attempts,average_per_set
229,8,Demi Korevaar,NED,0,1,9,10,
230,13,Hester Jasper,NED,0,2,8,10,
231,26,Sarah Van Aalen,NED,0,2,13,15,
232,30,Anniek Siebring,NED,0,0,8,8,
233,11,Monika Galkowska,POL,0,1,1,2,
234,19,Olivia Rozanski,POL,0,0,2,2,
235,23,Zuzanna Gorecka,POL,0,0,3,3,
236,12,Daria Ryseva,RUS,0,2,12,14,
237,13,Evgeniya Startseva,RUS,0,1,7,8,
238,20,Maria Vorobyeva,RUS,0,1,3,4,
239,25,Sofya Kuznetsova,RUS,0,4,4,8,
240,27,Polina Matveeva,RUS,0,0,13,13,
241,4,Emilija Zakic,SRB,0,5,31,36,
242,7,Katarina Jovic,SRB,0,1,8,9,
243,21,Jovana Kocic,SRB,0,3,31,34,
244,24,Aleksandra Cirovic,SRB,0,6,23,29,
245,28,Ana Pejicic,SRB,0,1,0,1,
246,9,Wanitchaya Luangtonglang,THA,0,2,3,5,
247,23,Jutarat Montripila,THA,0,0,8,8,
248,16,Yasemin Guveli,TUR,0,2,13,15,
249,19,Asli Kalac,TUR,0,12,47,59,
250,19,Hannah Tapp,USA,0,1,15,16,
251,21,Simone Lee,USA,0,1,19,20,
252,25,Karsta Lowe,USA,0,1,12,13,
